"걸","most of the times just 것을. But many grammar forms"
"제가 좋아하는 걸 잊었어요.","the thing that i like, i forgot it."
"내 걸 먹지마.","dont eat mine."
"내가 본 것은.","the thing that i saw."
"빌리가 제가 만든 걸 훔쳐 갔어요.","billy, I made thing, stole."
"물은 마시는 거예요.","water is something you drink."
"내가 하는 것을 따라하지 마세요.","stop copying me."
"내일 할 것이 없어요.","there is nothing to do tomorrow."
"같이 볼 영화를 선택했어요?","together to watch movie chose?"
"같이 볼 걸 선택했어요?","together something to watch chose?"
"걸(요)","assumption. Not fact. Contradict. Probably. I guess. I think."
"저도 그 정도 는 할 수 있을걸요.","i could probably do that much too."
"철수가 할걸요.","chulsoo will probably do it."
"해도 될걸요.","it should probably be ok."
"별로 안 매울 걸","i assume not spicy."
"그 집은 원래 식당이 었을 걸요.","that place was originally a restaurant."
"빌리가 한국어 선생님 일걸요.","billy is probably a korean teacher."
"이미 늦었을 걸요.","already late probably."
"철수도 내일 한국에 갈걸요.","chulsoo also tomorrow korea to go probably."
"엄청 예쁠걸","she’s probably really pretty."
"걸(그랬다)","no intonation. I should have."
"어제 컴퓨터를 살걸 그랬어.","yesterday computer bought should have."
"아, 우산을 가져올걸.","i should have brought an umbrella."
"말하지 말걸","i should not have said that."
"가지 말걸","go should not have gone."
"나도 갈걸 그랬나?","should i have also gone?"
"내가 한국에서 살았을 때 한국어를 더 열심히 공부할걸 그랬어.","I korea lived when korean more hard studied should have."
"지 그랬다","you should have. 그랬다 not optional for this one."
"그거 말하지 말지 그랬어.","you should have not said that."
"우산을 가져오지 그랬어요.","you should have brought an umbrella."
"더 열심히 공부하지 그랬어.","you should have studied harder."
"너도 하지 그랬어.","you should have done it."
"너도 할걸 그랬어.","not common but 걸 can be used with you. 그랬다 not optional. Usually they would say your name first. Just stick with 지 그랬다 honestly."
"가: 혹시 마크 씨 못 보셨어요? 나: 아마 커피숍에 간다고 했거든요.","A: did you happen to see mark? B: probably coffee shop is. Earlier coffee shop going heard."
"가: 어제 양강 씨도 테니스 치러 갔을까요? 나: 아마 안 갔을걸요. 예전에 테니스를 못 친다고 했던 것 같아요.","A: do you think yang gang when to play tennis yesterday. B: I doubt he went. I think he once said that he can’t play tennis."
"가: 백화점에 가려고 하는데 사람이 많을까요? 나: 추석 전이니까 많을걸요.","A: department store go intending to, people a lot will be?"
"가: 집 앞에 있는 마트가 몇 시에 여는지 아세요? 나: 아마 10시쯤 열걸요. 다른 마트들이 대부분 10시에 열거든요.","A: house in front existing mart which time opens do you know? B: probably 10 around opens. Other marts majority 10 around open."
"가: 약속 시간을 좀 늦추고 싶은데 자야 씨가 출발했을까요? 나: 벌써 출발했을걸요. 자야 시 집이 멀잖아요.","A: appointment time bit later make want to, jaya left do you think? B: already left probably. Jaya’s house is far away."
"가: 아침 8시에 출발할까요? 나: 그 시간에는 길이 많이 막힐걸요.","A: morning 8 leave shall we? B: that time road a lot blocked."
"가: 아키라 씨에게 경복궁을 구경시켜 줄까 해요. 나: 아키라 씨는 경복궁에는 벌써 가 봤을걸요. 외국인들이 한국에 오면 제일 먼저 가는 곳이잖아요.","A: akira gyeongbokgung sightseeing take plan to: B: akira gyeongbokgung already went probably. Foreigners korea come when most first going place is."
"가: 이 영화가 재미있을까요? 나: 요즘 흥행 위라고 하니까 재미있을걸요.","A: do you think this movie will be interesting? B: these days number 1 at the box office so I reckon it’s interesting."
"가: 강원도는 날씨가 어떤지 아세요? 나: 북쪽이라 서울보다 추울걸요.","A: gangwondo weather how is know? B: north is so seoul compared to cold i bet."
"가: 윤호 씨가 지금 집에 있을까요? 나: 이 시간에는 보통 운동을 하니까 집에 없을걸요.","A: yunho now house will be? B: this time usually exercise does cuz house not probably."
"가: 저 그림이 비쌀까요? 나: 복제품이나까 비싸지 않을걸요.","A: that painting expensive do you think? B: reproduction is cuz expensive not probably."
"가: 소포가 고향에 도착했을까요? 나: 고향까지 일주일 정도 걸리니까 벌써 도착했을걸요.","A: package hometown to arrived would have? B: hometown til week around takes so already arrived probably."
"가: 우리 내일 사진전 갈 때 영수 시도 부를까요? 나: 영수 씨는 시간이 없을걸요. 방학 내내 아르바이트 한다고 했거든요.","A: our tomorrow photo exhibit go during yeonsu also call shall we? B: yeongsu time does not have probably. Vacation throughout part time job doing."
"영수 씨는 아마 안 갈걸요. 예전에 사진이나 그림에는 관심이 없다고 했거든요.","yeongsu probably not going. One time photo or drawings interest not have said."
"영수 씨는 고향에 돌아갔을 걸요. 지난 주에 고향에 간다고 했거든요.","yeongsu hometown returned probably. Last week hometown go said."
