"증상 / 증세","symptoms / conditions of illness"
"기침. 기침이 심해서 어제 잠을 못 잤어요.","cough. Cough severe so yesterday sleep couldn't sleep."
"나다. 감기에 걸려서 열도 나고 기침도 나요.","to have, break out, (when referring to symptoms). Cold caught and then fever also have and cough also have."
"낫다. 감기가 다 나았어요? 오늘은 얼굴이 좋아 보여요.","to get better, to get over an illness. Cold all got better? Today face good looks."
"땀. 너무 더우니까 땀이 많이 나요.","sweat. Very hot because sweat a lot breaks out."
"못. 배가 아파서 밥을 못 먹겠어요. Unable to, can't. Stomach hurts so meal/rice can't eat.",""
"배탈. 여름에 찬 음식을 많이 먹으면 배탈이 나기 쉽습니다. Stomach ache, upset stomach. In summer cold food a lot eat if stomach ache having easy.",""
"붓다. 어젯밤에 잠을 못 자서 눈이 부었어요.","to swell. Last night sleep couldn't sleep so eyes got swollen."
"설사. 어제 오래된 음식을 먹어서 설사를 했습니다.","diarrhea. Yesterday old food eat so diarrhea did."
"소화. 너무 많이 먹어서 소화가 잘 안 돼요.","digestion. Very a lot ate so digestion well not happening/succeeding."
"숨. 숨을 한번 크게 쉬어 보세요.","breath. Breath once big breathe try."
"심하다. 앤디 씨는 기침이 심해서 수업 시간에 밖으로 나갔습니다.","to be severe. Andy cough severe so class time outside towards left."
"아프다. 피터 씨, 어디 아파요? 얼굴이 안 좋아 보여요.","to be sick. Peter somewhere hurts? Face not good looks."
"약하다. 리에 씨는 몸이 약해서 자주 아픕니다.","to be weak. Leah as for body weak so often sick."
"열. 준이치 씨의 어머니가 아주 뜨거워요. 열이 심해요.","fever. Jun lee jee's mom very hot(touch) fever severe."
"콧물. 코감기에 걸렸나 봐요. 콧물이 많이 나요.","a runny nose. Cold with nasal symptoms caught it seems. Runny nose a lot breaks out."
"특별히. 특별히 아픈 곳은 없고, 그냥 좀 피곤해요.","especially, particularly. Particularly hurt/sick place as for not have, just little tired."
"편찮다. 할머니, 어디가 편찮으신지 말씀해 주세요.","to be ill (honorific). Grandma, somewhere hurts/ill tell me pls for me."
"푹. 어제 푹 쉬어서, 감기가 많이 나은 것 같아요.","soundly, deeply. Yesterday soundly rested so cold a lot go better i think."
"풀리다. 저는 운동을 하면 스트레스가 풀려요.","to be relieved of something. I exercise do if stress is relieved."
"증상 / 증세","symptoms / conditions of illness"
