"1 noun + (이)나","or. no preference. or something. or somewhere."
"그럼 오늘이나 내일 만날까요?","then today or tomorrow shall we meet?"
"저는 잠이 오면 커피나 녹차를 마셔요.","i sleep comes if coffee or green tea drink."
"2 (이)나","or something, without second choice."
"할 것도 없는데 티비나 볼까요?","to do thing even isn't tv or something watch shall we?"
"제주도나 갈까?","jeju or somewhere go shall we?"
"3 거나","""or"" when making choice, no preference, same but with verbs."
"저는 주말에는 집에서 잘거나 할머니 댁에 갈 거예요.","i weekend house at sleep will or grandma's house go will."
"버스 정류장에서 조금 멀거나 오래된 집도 괜찮아요?","bus stop at little far or old house also fine?"
"4 아니면","or. you care about choice. if not."
"5 noun + 아니면 + noun","아니면 less common."
"지금 갈까? 아니면 나중에 갈까?","now shall we go? or later shall we go?"
"지금 아니면 나중에 갈까?","now or later shall we go? correct but not as natural."
"참치가 좋아? 아니면 연어가 좋아?","tuna good or salmon good?"
"점심을 같이 먹을까? 아니면 저녁을 같이 먹을까?","lunch together eat shall we? or dinner together eat shall we?"
"6 이나","second meaning as much as, no less than, approximately."
"7 또는","fancier 아니면"
"8 或, 호근","super fancy 아니면"
"엄마가 좋아? 아니면 아빠가 좋아?","mom like? if not dad like?"
"어마가 좋아? 아삐가 좋아?","do you like mom? do you like dad?"
"온을 할까? 아니면 내일 할까?","today do shall we? or if not tomorrow shall we do?"
"온을 할까? 내일 할까?","today do shall we? tomorrow do shall we?"
"가: 아키라 씨, 정말 오랜만이에요. 나: 그러네요. 오랜만이에요. 우리 오랜만에 만났는데 차나 한잔 마시면서 이야기할까요?","A: akira, really long time been. B: you're right. we long time in met; tea one cup drink while talk/catch up shall we?"
"가: 엄마, 친구하고 놀고 올게요. 나: 이제 그만 놀고 책이나 좀 읽어.","A: mom, friend with play and come will. B: from now on stop playing and book or somehing read."
"할 일도 없는데 산책이나 할까?","nothing to do; walk or something do shall we?"
"돈이 부족하니까 카페라떼 대신에 아메리카노나 마녀야겠어요.","money lacking cuz cafe latte instead of americano or something drink have to i guess."
"오늘 오후에 시간 있으면 인사동에나 갑시다.","today afternoon time have if insadong or somewhere go let's."
"오후에는 조금 바쁘니까 이따 저녁에나 만납시다.","afternoon bit busy cuz later evening or something meet let's. 에나 mandatory for time."
"미국은 너무 머니까 가까운 일본에나 다녀오자.","america too far so close japan or something commute let's. place 에나 or 이나 can use."
"미국은 너무 머니까 가까운 일본이나 다녀오자.","america too far so close japan or something commute let's. place 에나 or 이나 can use."
"저는 돈이 있으면 책이나 CD 사는 것을 좋아합니다.","i money have if book or CD buying like."
"배가 고파서 밥을 3그릇이나 먹었어요.","stomach hungry that rice 3 bowls as much as ate."
"우리 심심한데 영화나 봅시다.","we're bored so movie or something see let's."
"가: 휴일인데 뭐 하지? 나: 그냥 잠이나 자자.","A: holiday is; what do? B: just sleep or something sleep let's."
"가: 심심한데 뭐 하지? 나: 영화나 보자.","A: bored; what do? B: movie or something watch let's."
"가: 비가 오는데 뭐 하지? 나: 빈때떡이나 만들어 먹자.","A: rain come; what do? B: mung-bean cake or something make and eat let's."
"가: 밥이 없는데 어떻게 할까? 나: 밥이 없으면 라면이나 먹자.","A: rice isn't; how do shall we? B: rice isn't if ramen or something eat let's."
"가: 커피가 없는데 어떻게 할까? 나: 커피가 없으면 물이나 마시자.","A: coffee isn't; how do shall we? B: coffee isn't if water or something drink let's."
"가: 제주도에 가는 비행기 표가 없는데 어떻게 할까? 나: 제주도에 가는 배행기 표가 없으면 부산이나 가자.","A: jeju to going plane ticket isn't; how do shall we? B: jeju to going plane ticket isn't if busan or something go let's."
